semilla	cp	maxdepth	minsplit	minbucket	ganancia_test
289603	-0.8	7	320	64	49470000
313381	-0.8	7	320	64	50570000
529049	-0.8	7	320	64	50590000
237287	-0.8	7	320	64	48040000
619819	-0.8	7	320	64	48940000
911269	-0.8	7	320	64	42570000
536189	-0.8	7	320	64	43710000
490927	-0.8	7	320	64	46030000
276371	-0.8	7	320	64	46470000
121321	-0.8	7	320	64	47220000
868157	-0.8	7	320	64	50240000
739201	-0.8	7	320	64	57210000
340393	-0.8	7	320	64	46910000
967831	-0.8	7	320	64	50740000
171329	-0.8	7	320	64	50260000
919859	-0.8	7	320	80	47900000
137437	-0.8	7	320	80	43540000
922123	-0.8	7	320	80	53820000
502057	-0.8	7	320	80	47300000
324991	-0.8	7	320	80	45010000
289603	-0.8	7	320	80	49650000
313381	-0.8	7	320	80	49330000
529049	-0.8	7	320	80	49630000
237287	-0.8	7	320	80	47500000
619819	-0.8	7	320	80	49140000
911269	-0.8	7	320	80	44800000
536189	-0.8	7	320	80	45660000
490927	-0.8	7	320	80	45130000
276371	-0.8	7	320	80	48700000
121321	-0.8	7	320	80	48840000
868157	-0.8	7	320	80	48140000
739201	-0.8	7	320	80	57890000
340393	-0.8	7	320	80	47930000
967831	-0.8	7	320	80	51730000
171329	-0.8	7	320	80	48740000
919859	-0.6	7	320	32	50960000
137437	-0.6	7	320	32	45190000
922123	-0.6	7	320	32	52070000
502057	-0.6	7	320	32	48570000
324991	-0.6	7	320	32	40780000
289603	-0.6	7	320	32	49840000
313381	-0.6	7	320	32	48690000
529049	-0.6	7	320	32	51330000
237287	-0.6	7	320	32	47920000
619819	-0.6	7	320	32	44930000
911269	-0.6	7	320	32	40440000
536189	-0.6	7	320	32	47460000
490927	-0.6	7	320	32	44390000
276371	-0.6	7	320	32	49120000
121321	-0.6	7	320	32	45640000
868157	-0.6	7	320	32	50160000
739201	-0.6	7	320	32	55920000
340393	-0.6	7	320	32	47790000
967831	-0.6	7	320	32	54740000
171329	-0.6	7	320	32	48530000
919859	-0.6	7	320	48	48490000
137437	-0.6	7	320	48	44840000
922123	-0.6	7	320	48	55110000
502057	-0.6	7	320	48	50790000
324991	-0.6	7	320	48	42790000
289603	-0.6	7	320	48	50800000
313381	-0.6	7	320	48	51460000
529049	-0.6	7	320	48	53050000
237287	-0.6	7	320	48	45750000
619819	-0.6	7	320	48	46720000
911269	-0.6	7	320	48	41290000
536189	-0.6	7	320	48	43640000
490927	-0.6	7	320	48	45530000
276371	-0.6	7	320	48	47670000
121321	-0.6	7	320	48	45560000
868157	-0.6	7	320	48	49430000
739201	-0.6	7	320	48	55480000
340393	-0.6	7	320	48	46780000
967831	-0.6	7	320	48	52970000
171329	-0.6	7	320	48	50040000
919859	-0.6	7	320	64	50160000
137437	-0.6	7	320	64	44820000
